date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:14	33384/33384	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:12%20GMT	http://vietlott.vn/vi/trung-thuong/thong-ke-jackpot/bo-so-jackpot-645	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/thong-ke-jackpot/bo-so-jackpot-645.html	(from http://vietlott.vn/)
15:13:15	100275/100275	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:13%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/chu-nhan-jackpot	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/chu-nhan-jackpot.html	(from http://vietlott.vn/)
15:13:17	30630/30630	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:14%20GMT	http://vietlott.vn/vi/dai-ly/gioi-thieu-dai-ly	D:/private/webclone/vietlott/vietlott.vn/vi/dai-ly/gioi-thieu-dai-ly.html	(from http://vietlott.vn/)
15:13:18	41561/41561	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:15%20GMT	http://vietlott.vn/vi/dai-ly/lua-chon-dai-ly-diem-ban-hang	D:/private/webclone/vietlott/vietlott.vn/vi/dai-ly/lua-chon-dai-ly-diem-ban-hang.html	(from http://vietlott.vn/)
15:13:18	27411/27411	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:15%20GMT	http://vietlott.vn/vi/dai-ly/quy-dinh-dai-ly	D:/private/webclone/vietlott/vietlott.vn/vi/dai-ly/quy-dinh-dai-ly.html	(from http://vietlott.vn/)
15:13:19	30648/30648	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:17%20GMT	http://vietlott.vn/vi/dai-ly/danh-sach-dai-ly	D:/private/webclone/vietlott/vietlott.vn/vi/dai-ly/danh-sach-dai-ly.html	(from http://vietlott.vn/)
15:13:20	30447/30447	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:18%20GMT	http://vietlott.vn/vi/dai-ly/ho-tro-dai-ly-diem-ban-hang	D:/private/webclone/vietlott/vietlott.vn/vi/dai-ly/ho-tro-dai-ly-diem-ban-hang.html	(from http://vietlott.vn/)
15:13:21	27426/27426	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:19%20GMT	http://vietlott.vn/vi/trach-nhiem-xa-hoi/dong-gop-cho-xa-hoi	D:/private/webclone/vietlott/vietlott.vn/vi/trach-nhiem-xa-hoi/dong-gop-cho-xa-hoi.html	(from http://vietlott.vn/)
15:13:22	42241/42241	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:19%20GMT	http://vietlott.vn/vi/trach-nhiem-xa-hoi/trach-nhiem-voi-cong-dong	D:/private/webclone/vietlott/vietlott.vn/vi/trach-nhiem-xa-hoi/trach-nhiem-voi-cong-dong.html	(from http://vietlott.vn/)
15:13:23	37477/37477	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:20%20GMT	http://vietlott.vn/vi/trach-nhiem-xa-hoi/choi-co-trach-nhiem	D:/private/webclone/vietlott/vietlott.vn/vi/trach-nhiem-xa-hoi/choi-co-trach-nhiem.html	(from http://vietlott.vn/)
15:13:24	40509/40509	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:20%20GMT	http://vietlott.vn/vi/tin-tuc/tin-trung-thuong	D:/private/webclone/vietlott/vietlott.vn/vi/tin-tuc/tin-trung-thuong.html	(from http://vietlott.vn/)
15:13:25	41970/41970	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:23%20GMT	http://vietlott.vn/vi/tin-tuc/tin-hoat-dong	D:/private/webclone/vietlott/vietlott.vn/vi/tin-tuc/tin-hoat-dong.html	(from http://vietlott.vn/)
15:13:26	31813/31813	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:23%20GMT	http://vietlott.vn/vi/vietlott/gioi-thieu	D:/private/webclone/vietlott/vietlott.vn/vi/vietlott/gioi-thieu.html	(from http://vietlott.vn/)
15:13:27	41894/41894	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:24%20GMT	http://vietlott.vn/vi/vietlott/lich-su	D:/private/webclone/vietlott/vietlott.vn/vi/vietlott/lich-su.html	(from http://vietlott.vn/)
15:13:28	34685/34685	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:26%20GMT	http://vietlott.vn/vi/vietlott/thong-tin-lien-quan	D:/private/webclone/vietlott/vietlott.vn/vi/vietlott/thong-tin-lien-quan.html	(from http://vietlott.vn/)
15:13:29	31521/31521	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:27%20GMT	http://vietlott.vn/vi/vietlott/lien-he	D:/private/webclone/vietlott/vietlott.vn/vi/vietlott/lien-he.html	(from http://vietlott.vn/)
15:13:31	33491/33491	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:30%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645.html	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645-2.html	(from http://vietlott.vn/)
15:13:32	117142/117142	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:30%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/winning-number-645	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/winning-number-645.html	(from http://vietlott.vn/)
15:13:33	36190/36190	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:31%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655.html	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655-2.html	(from http://vietlott.vn/)
15:13:47	90906/90906	---M--	200	added ('OK')	image/jpeg	etag:%221471754bd12d41:0%22	http://media.vietlott.vn/main/07.2018/tkbbt/avatar/533930d4-4098-4dcc-b086-2eed274e6703.jpg	D:/private/webclone/vietlott/media.vietlott.vn/main/07.2018/tkbbt/avatar/533930d4-4098-4dcc-b086-2eed274e6703.jpg	(from http://vietlott.vn/)
15:13:48	32840/32840	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:46%20GMT	http://vietlott.vn/vi/tin-tuc/8851-cach-xac-dinh-gia-tri-jackpot-1-va-jackpot-2	D:/private/webclone/vietlott/vietlott.vn/vi/tin-tuc/8851-cach-xac-dinh-gia-tri-jackpot-1-va-jackpot-2.html	(from http://vietlott.vn/)
15:13:50	105621/105621	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:47%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/winning-number-655	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/winning-number-655.html	(from http://vietlott.vn/)
15:13:51	39012/39012	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:49%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d.html	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d-2.html	(from http://vietlott.vn/)
15:13:58	136189/136189	---M--	200	added ('OK')	image/png	etag:%22bc45d6ecc2ed41:0%22	http://media.vietlott.vn/main/06.2018/cms/game/mega-645_full-color_cut-copy.png	D:/private/webclone/vietlott/media.vietlott.vn/main/06.2018/cms/game/mega-645_full-color_cut-copy.png	(from http://vietlott.vn/)
15:13:58	37227/37227	---M--	200	added ('OK')	image/png	etag:%22c2e3ab43aad41:0%22	http://media.vietlott.vn/main/06.2018/cms/game/Max4D_Full-color_cut.png	D:/private/webclone/vietlott/media.vietlott.vn/main/06.2018/cms/game/Max4D_Full-color_cut.png	(from http://vietlott.vn/)
15:13:59	69264/69264	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:57%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/winning-number-max-4d	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/winning-number-max-4d.html	(from http://vietlott.vn/)
15:14:08	192315/192315	---M--	200	added ('OK')	image/png	etag:%2247921a2b2bdd41:0%22	http://media.vietlott.vn/main/06.2018/cms/game/Power655.png	D:/private/webclone/vietlott/media.vietlott.vn/main/06.2018/cms/game/Power655.png	(from http://vietlott.vn/)
15:14:16	99005/99005	---M--	200	added ('OK')	image/jpeg	etag:%225f693b63e7dd41:0%22	http://media.vietlott.vn/main/06.2018/kd/winner.avatar/99-web.jpg	D:/private/webclone/vietlott/media.vietlott.vn/main/06.2018/kd/winner.avatar/99-web.jpg	(from http://vietlott.vn/)
15:14:23	301715/301715	---M--	200	added ('OK')	image/jpeg	etag:%2217687edf2b10d41:0%22	http://media.vietlott.vn/main/06.2018/cms/avatar/057c8815-a326-4022-8f02-6a8abc0350f9.jpg	D:/private/webclone/vietlott/media.vietlott.vn/main/06.2018/cms/avatar/057c8815-a326-4022-8f02-6a8abc0350f9.jpg	(from http://vietlott.vn/)
15:14:24	5176/5176	---M--	200	added ('OK')	image/png	etag:%22c71b72bbdffbd31:0%22	http://vietlott.vn/images/home/logo_footer.png	D:/private/webclone/vietlott/vietlott.vn/images/home/logo_footer.png	(from http://vietlott.vn/)
